Informant,Response
VA57A,a little ways
VA57B,a little ways
VA58,a little ways
VA59N,a little ways
VA59A,a little ways
VA59B!,a little way
VA60,a little ways
VA61A,a little piece
VA61A,a little ways
VA61B!,a little ways
VA61C,a little ways
VA62A,a little ways
VA62B,a little ways
VA63A,a little ways
VA63B,a little ways
VA64A,a little ways
VA64B,a little ways
VA65A,a little ways
VA65B,a little ways
VA65C!,a little way
VA65C!,a little ways
VA66A,a little ways
VA66B,a little ways
VA67A,a little ways
VA67A,a little piece
VA67B,a little ways
VA68A,a little ways
VA68B,a little ways
VA69A,a little ways
VA69B,a little ways
VA70A,a little ways
VA70B,a little ways
VA71A,a little ways
VA71A,a little piece
VA71B,a little ways
VA72A,a little ways
VA72A,a little piece
VA72B,a little ways
VA72B,a little piece
VA73,a little ways
VA73,a little piece
VA74A,a little ways
VA74B!,a little piece
VA74B!,a little ways
VA75A,a little piece
VA75A,a little ways
VA75B,a little ways
VA75B,a little piece
NC1,a little ways
NC2A,a little ways
NC2B,a little ways
NC3A,a little ways
NC3B,a little ways
NC4A,a little ways
NC4B,a little ways
NC5A,a little ways
NC5B,a little ways
NC6!,a little ways
NC7A,a little ways
NC7B,a little ways
NC8N,a little ways
NC8A,a little piece
NC8A,a little ways
NC8B,a little piece
NC8B,a little ways
NC9A,a little ways
NC9B,a little ways
NC10A,a little ways
NC10B,a little ways
NC10C,ways
NC11A,a little ways
NC11B,a little ways
NC12A,a little ways
NC12B,a little ways
NC13A,a little ways
NC13B,a little piece
NC13B,a little ways
NC13B,a little ways
NC14N,a little ways
NC14A,a little piece
NC14A,a little ways
NC14A,a little piece
NC14B,a little ways
NC14B,a little ways
NC14C!,a little ways
NC15A,a little ways
NC15B,a little ways
NC15B,a little piece
NC15C,a little ways
NC16A,a little ways
NC16B,a little ways
NC17A,a little ways
NC17B,a little ways
NC18A,a little ways
NC18A,a little piece
NC18B,a little ways
NC18B,a little piece
NC19A,a little ways
NC19B,a little ways
NC20A,a little ways
NC20B,a little piece
NC20B,a little ways
NC20C,a little ways
NC21A,a little ways
NC21B,a little ways
NC22A,a little ways
NC22B,a little piece
NC22B,a little ways
NC23A,a little piece
NC23A,a little ways
NC23B,a little piece
NC23B,a little ways
NC23C!,a little piece
NC23C!,a little ways
NC23D!,a little piece
NC23D!,a little ways
NC24N,a little piece
NC24N,a little ways
NC24A,a little piece
NC24A,a little ways
NC24B,a little piece
NC24B,a little ways
NC25N,a little ways
NC25A,a little piece
NC25B,a little ways
NC26A,a little ways
NC26A,a little piece
NC26B,a little ways
NC26C!,a little way
NC26C!,a little ways
NC26C!,a little piece
NC27A,a little ways
NC27A,a little piece
NC27B,a little ways
NC27B,a little piece
NC28A,a little piece
NC28B,a little piece
NC28B,a little ways
NC28B,a little ways
NC28C,a little piece
NC28C,a little ways
NC29A,a little ways
NC29B,a little ways
NC29B,a little piece
NC30A,a little ways
NC30B,a little ways
NC31A,a little ways
NC31A,a little ways
NC31B,a little ways
NC32A,a little ways
NC32A,a little ways
NC32A,a little ways
NC32B!,a little ways
NC33A,a little ways
NC33B,a little ways
NC34A,a little ways
NC34A,a little ways
NC34B,a little ways
NC35A,a little ways
NC35B,a little ways
NC35B,a little piece
NC36N,a little piece
NC36N,a little ways
NC36A,a little ways
NC36A,a little piece
NC36B,a little ways
NC36B,a little piece
NC37A,a little ways
NC37A,a little ways
NC37B,a little ways
NC38N,a little ways
NC38A,a little ways
NC38B,a little ways
NC39A,a little ways
NC39B!,a little way
NC40A,a little ways
NC40B,a little ways
NC41!,a little ways
NC42A,a little piece
NC42A,a little ways
NC42B,a little piece
NC42B,a little ways
NC43A,a little ways
NC43B,a little ways
NC44,a little piece
NC44,a little ways
NC45A,a little ways
